Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
2/1/2010,DKdwCJ2yybU,STEP AEROBIC General Fitness And Trim Legs,2,,YouTube,1.1
4/1/2010,dkt2m22IOAs,From The Driver's Point Of View I,1,,YouTube,1.1
2/1/2010,dOuYkAAuwGY,French Riveria,1,,YouTube,1.1
6/1/2010,dOuYkAAuwGY,Bikini Destinations S1EFrenc - French Riveria,1,,YouTube,1.1
11/1/2010,dOuYkAAuwGY,Bikini Destinations S1EFrenc - French Riveria,1,,YouTube,1.1
2/1/2010,drZYEDhaU_0,Urubamba,1,,YouTube,1.1
8/1/2010,Dx08pmMP0q4,Budapest Queen Of The Danube,1,,YouTube,1.1
7/1/2010,dxCzu1v56x8,Scenic Tours Of Oahu,1,,YouTube,1.1
9/1/2010,DyMv_m1XoZA,Bikini Destinations S1ESONE - Best of Season One,1,,YouTube,1.1
11/1/2010,DZ6qLasBBjU,History of WWII S1E12 - Germany Destroyed,1,,YouTube,1.1
2/1/2010,Dz9PmqwYm0Q,Inside Iraq The Untold Stories,1,,YouTube,1.1
10/1/2010,Dz9PmqwYm0Q,Inside Iraq The Untold Stories,1,,YouTube,1.1
2/1/2010,e1I1bKldfI0,Turks and Caicos,2,,YouTube,1.1
4/1/2010,e1I1bKldfI0,Turks and Caicos,1,,YouTube,1.1
5/1/2010,e2uycpnYAn4,Island Hoppers S1ETHOM - St Thomas,1,,YouTube,1.1
7/1/2010,e2uycpnYAn4,Island Hoppers S1ETHOM - St Thomas,1,,YouTube,1.1
12/1/2010,e2uycpnYAn4,Island Hoppers S1ETHOM - St Thomas,1,,YouTube,1.1
6/1/2010,e2V2L9d6Zg0,Bikini Destinations S1EVegas - Las Vegas,1,,YouTube,1.1
7/1/2010,e2V2L9d6Zg0,Bikini Destinations S1EVegas - Las Vegas,1,,YouTube,1.1
11/1/2010,e6J2jMumpTU,Globe Riders S1E02011 - Indochina Expedition,2,,YouTube,1.1
11/1/2010,e7QcRui_0Os,On Tour S1E111 - CANADIAN ROCKIES Highway Across Paradise,1,,YouTube,1.1
8/1/2010,EA7T6IfpJi8,Vines Down Under Wine Regions of Australia and New Zealand,1,,YouTube,1.1
12/1/2010,E-b-6F7DaA0,Great Chefs of Austria S1E101 - Chef Manfred Buchinger Vienna Inter-Continental a Four Seasons Hotel,1,,YouTube,1.1
7/1/2010,EFcExJo3VEI,Vista Point S2E245 - Patagonia Argentina,1,,YouTube,1.1
9/1/2010,eGlUIqkr7iA,Nature Wonders S1E125 - GRAND STAIRCASE Utah U.S.A.,1,,YouTube,1.1
8/1/2010,ekFdQt2c1OQ,7 Days S1E146 - FINLAND,1,,YouTube,1.1
8/1/2010,EkuGOj101w4,Extremists S1E105 - Waves of Hawaii,1,,YouTube,1.1
